time,open,high,low,close,volume
2022-01-02 16:30:00+00:00,47432,47668,47432,47570,6358023.113
2022-01-02 16:45:00+00:00,47570,47896,47570,47810,7697328.36
2022-01-02 17:00:00+00:00,47816,48002,47553,47570,16967761.75
2022-01-02 17:15:00+00:00,47569,47698,47508,47655,9670572.936
2022-01-02 17:30:00+00:00,47656,47667,47528,47600,5655311.217
2022-01-02 17:45:00+00:00,47599,47599,47328,47400,7862201.588
2022-01-02 18:00:00+00:00,47400,47400,47250,47285,20229252.68
2022-01-02 18:15:00+00:00,47275,47311,46870,46944,18414551.09
2022-01-02 18:30:00+00:00,46945,46987,46653,46915,15258768.82
2022-01-02 18:45:00+00:00,46915,47081,46873,47068,4459962.201
2022-01-02 19:00:00+00:00,47068,47209,46982,47058,3371702.949
2022-01-02 19:15:00+00:00,47058,47108,46868,46938,3084701.903
2022-01-02 19:30:00+00:00,46929,47010,46867,46945,9308888.516
2022-01-02 19:45:00+00:00,46948,46993,46923,46926,1614109.942
2022-01-02 20:00:00+00:00,46926,47049,46846,47032,4604605.62
2022-01-02 20:15:00+00:00,47045,47052,46975,47048,702110.1949
2022-01-02 20:30:00+00:00,47048,47048,46925,46960,610116.0298
2022-01-02 20:45:00+00:00,46967,47042,46940,47029,627254.2688
2022-01-02 21:00:00+00:00,47021,47176,46938,47156,2206340.727
2022-01-02 21:15:00+00:00,47161,47162,47055,47060,824080.2815
2022-01-02 21:30:00+00:00,47060,47168,47060,47082,803463.0252
2022-01-02 21:45:00+00:00,47082,47082,47005,47014,6760905.759
2022-01-02 22:00:00+00:00,47014,47194,47014,47194,2321754.137
2022-01-02 22:15:00+00:00,47193,47193,47126,47153,743276.2627
2022-01-02 22:30:00+00:00,47155,47410,47155,47389,17074214.33
2022-01-02 22:45:00+00:00,47388,47388,47259,47273,2224114.994
2022-01-02 23:00:00+00:00,47273,47445,47273,47338,7866821.689
2022-01-02 23:15:00+00:00,47337,47419,47296,47403,3927062.673
2022-01-02 23:30:00+00:00,47418,47480,47337,47368,3895389.776
2022-01-02 23:45:00+00:00,47369,47396,47304,47304,4590501.879
2022-01-03 00:00:00+00:00,47303,47303,47165,47167,6138578.119
2022-01-03 00:15:00+00:00,47165,47256,47165,47177,668687.7021
2022-01-03 00:30:00+00:00,47178,47182,47074,47164,4317845.75
2022-01-03 00:45:00+00:00,47164,47198,47061,47062,1055610.564
2022-01-03 01:00:00+00:00,47062,47088,47038,47053,1820278.143
2022-01-03 01:15:00+00:00,47051,47089,46955,47054,3393388.233
2022-01-03 01:30:00+00:00,47049,47082,46990,46990,1769255.774
2022-01-03 01:45:00+00:00,46987,47130,46978,47110,3533516.882
2022-01-03 02:00:00+00:00,47113,47113,46889,46914,4828477.944
