time,open,high,low,close,volume,Numberoftrades,TakerVolume
2024-08-05 06:15:00,2280.43,2293.00,2150.37,2200.70,468421.568,415705,212180.638
2024-08-05 06:30:00,2201.00,2249.78,2177.01,2194.83,258421.461,292574,129290.124
2024-08-05 06:45:00,2194.83,2272.12,2186.34,2267.39,230104.228,253477,119706.473
2024-08-05 07:00:00,2267.36,2303.42,2255.59,2289.43,147001.313,179637,76646.583
2024-08-05 07:15:00,2289.43,2347.14,2287.68,2341.02,155805.172,179208,83875.165
2024-08-05 07:30:00,2341.02,2367.53,2325.00,2355.91,125076.346,146348,64882.741
2024-08-05 07:45:00,2355.91,2366.48,2344.35,2356.42,86410.761,102850,40865.028
2024-08-05 08:00:00,2356.42,2359.48,2309.13,2334.92,125853.536,136489,54409.280
2024-08-05 08:15:00,2334.59,2361.99,2320.64,2322.24,93637.471,117262,46469.148
2024-08-05 08:30:00,2322.24,2335.00,2290.01,2301.48,107532.624,136816,51433.146
2024-08-05 08:45:00,2301.61,2329.36,2299.20,2324.40,78563.617,115033,42420.984
2024-08-05 09:00:00,2324.41,2337.00,2301.53,2319.17,80979.296,110542,39040.844
2024-08-05 09:15:00,2319.16,2333.47,2311.66,2324.52,50202.253,83186,25898.843
2024-08-05 09:30:00,2324.53,2329.05,2301.27,2303.53,54223.594,84782,24485.866
2024-08-05 09:45:00,2303.53,2316.80,2273.80,2315.90,112897.835,145089,55462.187
2024-08-05 10:00:00,2315.90,2317.90,2280.09,2283.19,73253.388,105378,33626.743
2024-08-05 10:15:00,2283.06,2283.40,2251.52,2262.54,96030.440,127223,42222.412
2024-08-05 10:30:00,2262.55,2279.43,2222.31,2278.18,160426.270,173626,77889.079
2024-08-05 10:45:00,2278.15,2286.89,2258.64,2271.37,98566.737,115677,48921.400
2024-08-05 11:00:00,2271.41,2280.11,2237.96,2275.83,118339.399,129006,57200.406
2024-08-05 11:15:00,2275.83,2283.98,2224.55,2234.50,127656.227,133851,61680.055
2024-08-05 11:30:00,2234.58,2249.39,2223.50,2244.26,108268.096,125119,53348.658
2024-08-05 11:45:00,2244.25,2301.97,2238.48,2289.89,160401.113,139343,87818.019
2024-08-05 12:00:00,2289.89,2306.38,2257.62,2261.37,109303.581,124100,55280.581
2024-08-05 12:15:00,2261.38,2274.02,2226.01,2232.80,121808.578,127989,60309.102
2024-08-05 12:30:00,2232.79,2277.49,2196.15,2268.54,202940.967,200334,94949.887
2024-08-05 12:45:00,2268.54,2270.26,2211.10,2227.55,139677.238,153017,67583.547
2024-08-05 13:00:00,2227.49,2253.87,2213.32,2221.63,129896.515,136247,63126.593
2024-08-05 13:15:00,2221.62,2226.51,2181.61,2187.61,156068.048,168458,71976.232
2024-08-05 13:30:00,2187.81,2329.60,2184.42,2291.28,381881.554,334961,200597.938
2024-08-05 13:45:00,2291.28,2348.97,2289.90,2335.88,199770.113,208730,101260.980
2024-08-05 14:00:00,2336.05,2396.00,2335.36,2364.24,283236.978,285765,144425.387
2024-08-05 14:15:00,2364.37,2400.00,2353.65,2358.04,154802.042,179747,75856.977
2024-08-05 14:30:00,2358.05,2440.00,2357.46,2419.83,182527.133,183934,103253.174
2024-08-05 14:45:00,2419.91,2424.21,2394.47,2401.38,111287.058,135942,51552.049
2024-08-05 15:00:00,2401.39,2426.36,2380.00,2417.08,146265.714,148495,71760.100
2024-08-05 15:15:00,2417.08,2429.25,2401.60,2412.28,90558.560,110893,42631.086
2024-08-05 15:30:00,2412.36,2450.00,2410.00,2432.72,114999.493,125375,59860.720
2024-08-05 15:45:00,2432.71,2460.00,2426.09,2448.97,102079.049,116006,53520.499
2024-08-05 16:00:00,2448.96,2485.98,2441.77,2477.17,129037.188,138330,71138.056
2024-08-05 16:15:00,2477.16,2518.27,2464.35,2512.00,141478.623,150236,75618.424
2024-08-05 16:30:00,2512.00,2514.81,2468.18,2483.83,139045.650,146955,65120.149
2024-08-05 16:45:00,2483.82,2484.60,2451.87,2452.59,82202.907,89568,39358.927
2024-08-05 17:00:00,2452.59,2463.47,2424.41,2442.77,104389.294,105456,50370.682
2024-08-05 17:15:00,2442.76,2474.09,2442.00,2453.68,68394.568,79532,36614.827
2024-08-05 17:30:00,2453.69,2474.80,2453.69,2471.79,43473.700,58874,21864.966
2024-08-05 17:45:00,2472.06,2493.61,2460.94,2468.44,68823.020,75349,33245.503
2024-08-05 18:00:00,2468.44,2471.55,2453.67,2456.13,33646.526,49456,14784.390
2024-08-05 18:15:00,2456.12,2460.62,2408.05,2418.05,93138.617,98507,40694.164
2024-08-05 18:30:00,2418.12,2433.58,2393.72,2402.66,74464.089,85526,34036.710
2024-08-05 18:45:00,2402.60,2411.81,2371.00,2373.70,66422.971,79762,30501.706
2024-08-05 19:00:00,2373.70,2397.84,2369.75,2370.00,61767.780,79472,29997.004
2024-08-05 19:15:00,2370.01,2413.16,2363.00,2396.78,83245.818,105900,45464.870
2024-08-05 19:30:00,2396.78,2410.57,2381.87,2382.77,69005.996,89489,33129.315
2024-08-05 19:45:00,2382.78,2411.68,2373.76,2403.94,77280.675,93613,41392.376
2024-08-05 20:00:00,2403.87,2442.18,2399.79,2422.27,81380.195,95207,43157.417
2024-08-05 20:15:00,2422.44,2428.24,2406.68,2428.24,35496.452,51723,17795.792
